,Unique,Counts
383,oil,9671
527,salt,8553
601,sugar,6587
246,garlic,6063
72,butter,5809
386,onion,5654
430,pepper,5609
321,lemon,4274
668,water,4058
205,egg,4040
235,flour,3450
174,cream,3040
113,chicken,2904
634,tomato,2794
681,wine,2743
106,cheese,2618
405,parsley,2492
359,milk,2162
651,vanilla,1970
251,ginger,1838
327,lime,1622
627,thyme,1612
387,orange,1609
661,vinegar,1601
552,shallot,1541
137,cilantro,1508
467,potato,1465
89,carrot,1425
138,cinnamon,1411
493,rice,1295
372,mustard,1284
49,bell pepper,1274
182,cumin,1150
40,basil,1028
360,mint,1027
468,powder,1010
42,bay leaf,941
578,soy sauce,914
286,honey,906
505,rosemary,884
370,mushroom,878
97,celery,831
130,chocolate,811
536,scallion,808
353,mayonnaise,722
156,coriander,716
393,oregano,707
16,apple,674
6,almond,671
129,chive,657
686,yogurt,655
464,pork,654
381,nutmeg,647
219,fennel,645
46,beef,615
292,jalapeno,614
32,bacon,599
141,clove,598
166,cornstarch,596
572,soda,584
560,shrimp,558
145,coconut,556
403,paprika,547
289,ice,521
181,cucumber,518
44,bean,509
617,tarragon,508
664,walnut,496
173,cranberry,448
121,chili,441
486,raisin,428
320,leek,425
647,turkey,417
532,sauce,405
192,dill,396
165,cornmeal,395
688,zucchini,394
595,strawberry,393
315,lamb,383
4,allspice,383
487,raspberry,381
424,pecan,376
83,caper,372
509,rum,372
404,parmesan,364
28,arugula,360
31,avocado,355
385,olive,336
585,spinach,336
62,bread,333
330,liqueur,330
444,pineapple,330
443,pine nut,323
68,broth,320
515,sage,313
639,tortilla,312
21,apricot,303
64,breadcrumb,301
187,curry powder,294
551,sesame seed,293
343,maple syrup,292
414,pea,289
96,cayenne,286
116,chile,284
107,cherry,284
484,radish,273
61,brandy,272
12,anchovy,271
176,creme,271
208,eggplant,268
687,yolk,266
556,sherry,262
648,turmeric,262
318,leaf,260
75,cabbage,257
421,pear,247
144,cocoa powder,245
162,corn syrup,244
506,round,242
158,corn,237
63,bread crumb,237
228,fish sauce,236
399,pan,233
534,sausage,233
247,garnish,233
340,mango,226
250,gin,225
656,vegetable,224
288,horseradish,221
670,watercres,218
74,butternut squash,216
281,hazelnut,212
86,cardamom,208
67,broccoli,204
99,celery rib,200
161,corn kernel,199
685,yeast,198
